StartDate,SleptAt,AwokeAt,Duration
11/07/2013,"July 11, 2013 at 11:14p.m.",12/07/2013 07:25:00,491
12/07/2013,"July 12, 2013 at 10:56p.m.",13/07/2013 06:40:00,464
13/07/2013,"July 14, 2013 at 05:19a.m.",14/07/2013 16:19:00,660
14/07/2013,"July 15, 2013 at 02:31a.m.",15/07/2013 10:40:00,489
15/07/2013,"July 15, 2013 at 10:39p.m.",16/07/2013 06:24:00,465
16/07/2013,"July 17, 2013 at 01:09a.m.",17/07/2013 07:05:00,356
17/07/2013,"July 18, 2013 at 12:20a.m.",18/07/2013 07:06:00,406
18/07/2013,"July 18, 2013 at 11:28p.m.",19/07/2013 06:55:00,447
19/07/2013,"July 19, 2013 at 11:18p.m.",20/07/2013 07:25:00,487
20/07/2013,"July 21, 2013 at 02:14a.m.",21/07/2013 14:09:00,715
21/07/2013,"July 22, 2013 at 02:09a.m.",22/07/2013 10:17:00,488
22/07/2013,"July 22, 2013 at 11:50p.m.",23/07/2013 06:55:00,425
23/07/2013,"July 23, 2013 at 10:42p.m.",24/07/2013 07:14:00,512
24/07/2013,"July 24, 2013 at 09:58p.m.",25/07/2013 06:30:00,512
08/10/2013,"October 09, 2013 at 12:17a.m.",09/10/2013 07:41:00,444
09/10/2013,"October 10, 2013 at 12:20a.m.",10/10/2013 07:40:00,440
10/10/2013,"October 10, 2013 at 11:34p.m.",11/10/2013 08:26:00,532
11/10/2013,"October 11, 2013 at 11:52p.m.",12/10/2013 06:18:00,386
12/10/2013,"October 12, 2013 at 10:17p.m.",13/10/2013 09:14:00,657
13/10/2013,"October 14, 2013 at 01:47a.m.",14/10/2013 10:47:00,540
14/10/2013,"October 15, 2013 at 05:15a.m.",15/10/2013 09:51:00,276
15/10/2013,"October 15, 2013 at 10:36p.m.",16/10/2013 06:30:00,474
16/10/2013,"October 16, 2013 at 11:07p.m.",17/10/2013 06:43:00,456
17/10/2013,"October 17, 2013 at 10:56p.m.",18/10/2013 06:45:00,469
18/10/2013,"October 18, 2013 at 11:42p.m.",19/10/2013 06:45:00,423
19/10/2013,"October 19, 2013 at 11:04p.m.",20/10/2013 06:45:00,461
20/10/2013,"October 21, 2013 at 01:20a.m.",21/10/2013 11:26:00,606
21/10/2013,"October 21, 2013 at 10:56p.m.",22/10/2013 06:00:00,424
22/10/2013,"October 23, 2013 at 12:45a.m.",23/10/2013 07:00:00,375
23/10/2013,"October 23, 2013 at 11:23p.m.",24/10/2013 06:29:00,426
24/10/2013,"October 24, 2013 at 11:44p.m.",25/10/2013 06:45:00,421
25/10/2013,"October 25, 2013 at 11:33p.m.",26/10/2013 06:30:00,417
27/10/2013,"October 28, 2013 at 12:59a.m.",28/10/2013 12:07:00,668
14/11/2013,"November 14, 2013 at 10:41p.m.",15/11/2013 05:56:00,435
15/11/2013,"November 15, 2013 at 08:41p.m.",16/11/2013 05:11:00,510
16/11/2013,"November 17, 2013 at 01:42a.m.",17/11/2013 08:30:00,408
17/11/2013,"November 18, 2013 at 12:57a.m.",18/11/2013 08:31:00,454
18/11/2013,"November 18, 2013 at 10:36p.m.",19/11/2013 05:34:00,418
19/11/2013,"November 19, 2013 at 10:17p.m.",20/11/2013 05:46:00,449
20/11/2013,"November 20, 2013 at 10:36p.m.",21/11/2013 05:42:00,426
21/11/2013,"November 21, 2013 at 10:06p.m.",22/11/2013 05:35:00,449
22/11/2013,"November 22, 2013 at 10:28p.m.",23/11/2013 05:35:00,427
23/11/2013,"November 23, 2013 at 11:14p.m.",24/11/2013 05:40:00,386
24/11/2013,"November 25, 2013 at 01:44a.m.",25/11/2013 10:29:00,525
25/11/2013,"November 25, 2013 at 11:23p.m.",26/11/2013 09:10:00,587
26/11/2013,"November 26, 2013 at 10:34p.m.",27/11/2013 05:35:00,421
27/11/2013,"November 27, 2013 at 10:15p.m.",28/11/2013 05:10:00,415
28/11/2013,"November 28, 2013 at 10:27p.m.",29/11/2013 05:41:00,434
29/11/2013,"November 29, 2013 at 11:04p.m.",30/11/2013 05:41:00,397
30/11/2013,"December 01, 2013 at 12:19a.m.",01/12/2013 08:20:00,481
01/12/2013,"December 02, 2013 at 02:32a.m.",02/12/2013 09:30:00,418
02/12/2013,"December 02, 2013 at 10:46p.m.",03/12/2013 05:44:00,418
03/12/2013,"December 03, 2013 at 10:50p.m.",04/12/2013 04:30:00,340
04/12/2013,"December 04, 2013 at 11:43p.m.",05/12/2013 05:49:00,366
05/12/2013,"December 05, 2013 at 11:13p.m.",06/12/2013 05:50:00,397
06/12/2013,"December 06, 2013 at 10:54p.m.",07/12/2013 05:38:00,404
07/12/2013,"December 07, 2013 at 10:45p.m.",08/12/2013 08:00:00,555
08/12/2013,"December 09, 2013 at 03:35a.m.",09/12/2013 08:31:00,296
09/12/2013,"December 09, 2013 at 10:26p.m.",10/12/2013 05:35:00,429
10/12/2013,"December 10, 2013 at 10:11p.m.",11/12/2013 05:15:00,424
11/12/2013,"December 11, 2013 at 10:31p.m.",12/12/2013 05:33:00,422
12/12/2013,"December 12, 2013 at 10:51p.m.",13/12/2013 05:45:00,414
13/12/2013,"December 13, 2013 at 10:21p.m.",14/12/2013 05:44:00,443
14/12/2013,"December 15, 2013 at 12:04a.m.",15/12/2013 11:17:00,673
15/12/2013,"December 16, 2013 at 01:03a.m.",16/12/2013 09:10:00,487
16/12/2013,"December 16, 2013 at 11:21p.m.",17/12/2013 05:44:00,383
17/12/2013,"December 17, 2013 at 11:49p.m.",18/12/2013 05:47:00,358
