x,y
51,66.496
50.62496,37.44
51.62496,144.752
55,226.768
56.24992,195.184
58.62496,153.392
58.12496,158.256
58,320.208
56.37504,339.6
55.5,188.448
53.24992,180.512
52.62496,141.728
51.75008,115.648
53.12496,211.696
49,248.496
49.24992,202.176
51.37504,133.856
53.37504,140.016
51.75008,152.096
51.75008,157.648
47,350.512
46.75008,518.224
46.24992,301.632
43.24992,176.416
44.24992,141.44
46.5,131.216
51.37504,254.736
54.5,393.392
55.75008,290.576
51.75008,230.288
51,136.992
49.5,208.192
47.37504,252.64
46.5,292.448
49.12496,247.008
52.75008,250.88
54.24992,225.248
51.62496,131.232
54.12496,243.776
54.5,126
52.5,201.04
51.75008,296.752
52.24992,87.776
51.5,21.536
54.37504,165.584
54.87504,155.12
54.24992,94.4
55,100.128
56.37504,259.28
59.75008,308.256
61,274.736
59.37504,147.632
58.87504,174.512
60,145.84
60.24992,144.304
60.5,135.536
61.5,108.752
59.5,127.472
63,297.216
65.37504,238.24
67.87504,228.336
66,61.856
66.37504,95.872
69,151.008
71,165.088
70.87504,154.672
69.5,178.288
65.37504,266.016
65.12496,286.88
64.87504,157.584
65.96864,217.488
65.24992,302.96
64.12496,382.624
68.24992,527.552
67.87504,266.784
66.75008,279.168
67.5,182.88
65.24992,350.96
64.5,183.36
64,111.376
62.93744,107.008
62.5,105.344
61.24992,151.136
60.62496,296.416
62.24992,331.808
64.5,326.816
66.12496,245.584
66.12496,339.536
64.62496,137.216
64.87504,184.464
64.62496,143.872
65.24992,165.472
65.5,207.856
65.75008,119.504
65.24992,90.592
66.75008,132.56
65,114.272
64.75008,113.232
65.62496,134.864
64.75008,125.392
64.62496,111.872
63.87504,142.608
62.24992,201.024
68.5,397.6
74.24992,999.68
74.93744,325.2
74,221.824
72.5,229.008
75.62496,531.12
81.75008,521.104
88.5,662.272
92.37504,1052.192
86.75008,661.952
85,697.808
85,314.416
86.5,249.472
85.24992,143.504
86.87504,415.632
87.43744,337.456
84.93744,180.416
83.81248,108.16
87,283.424
89.93744,381.632
90.5,278.208
92.18752,289.28
94.24992,307.664
94.12496,191.36
97.81248,390.048
104.56256,649.888
105.75008,585.456
103.75008,471.312
98.5,818.608
98.75008,933.744
114.75008,1767.872
116.62496,1140.544
118.24992,779.424
118.62496,405.744
129.62495,1469.632
125.5,939.52
128.87505,670.288
129,511.152
124.62496,575.312
116,829.968
117.75008,785.072
112.75008,678.288
119.37504,753.008
119.5,389.952
121.62496,357.664
119.37504,205.184
122,157.296
120.37504,235.136
117.24992,225.968
118.37504,265.648
117.75008,264.336
118.87504,271.792
116.5,337.312
124.06256,601.712
126.37504,579.856
123,255.52
119.43744,336.208
119.75008,236.784
119.37504,159.696
118.5,183.488
116.75008,157.136
115.5,464.864
115.24992,1034.912
115,475.904
112,362.16
109.24992,728.016
105.75008,1142.08
105.75008,715.44
104.12496,498.416
106,371.056
109.5,333.008
118.5,957.104
119.24992,690.64
116.75008,513.296
116,484.176
116.37504,539.632
122.37504,637.808
131.62495,1306.576
136.37505,817.68
130.5,591.104
140.37505,813.264
150.37505,1224.944
152,961.696
156.24992,992.08
153.62495,678.736
154.75008,511.216
159.75008,632.608
170,739.84
179.5,1192.176
200,2167.2
207.5,1983.68
198.5,2248.496
204,2074.912
186.12495,1128.96
188.62495,857.632
191.37505,592.48
187.37505,366.368
187.5,517.488
189.37505,463.696
197.24992,639.024
207.43744,1152.192
196.62495,680.368
198.75008,435.728
193,877.472
189.5,835.168
190.5,617.536
186.62495,666.416
185.37505,965.12
185,637.552
90.5,347.8
89.75,420.928
87.75,541.2
88.37504,369.464
93.25,516.632
94,349.136
94.25,508.408
96.31248,421.76
96.75,268.016
94.37504,253.72
92.5,202.568
98,422.128
100,332.48
97.87504,238.784
97.37504,309.392
98,218.88
99.25,193.568
96.93752,220.424
95,391.072
92.37504,620.744
84.12496,770.248
