Date;Volume
10-Jun-2014;1351700
9-Jun-2014;1467500
6-Jun-2014;1736800
5-Jun-2014;1689100
4-Jun-2014;1816500
3-Jun-2014;1866600
2-Jun-2014;1435000
30-May-2014;1771100
29-May-2014;1354100
28-May-2014;1652000
27-May-2014;2104200
23-May-2014;1932200
22-May-2014;1615800
21-May-2014;1196300
20-May-2014;1784800
19-May-2014;1277800
16-May-2014;1485300
15-May-2014;1704400
14-May-2014;1191800
13-May-2014;1653400
12-May-2014;1912500
9-May-2014;2439500
8-May-2014;2021300
7-May-2014;3224300
6-May-2014;1689000
5-May-2014;1024100
2-May-2014;1688500
1-May-2014;1905500
30-Apr-2014;1751200
29-Apr-2014;2699100
28-Apr-2014;3335500
25-Apr-2014;2100400
24-Apr-2014;1883200
23-Apr-2014;2052300
22-Apr-2014;2365400
21-Apr-2014;2566700
17-Apr-2014;6809500
16-Apr-2014;4893300
15-Apr-2014;3855100
14-Apr-2014;2575100
11-Apr-2014;3924800
10-Apr-2014;4036900
9-Apr-2014;3330800
8-Apr-2014;3151200
7-Apr-2014;4401700
4-Apr-2014;6369300
3-Apr-2014;5099200
2-Apr-2014;147100
1-Apr-2014;7900
31-Mar-2014;10800
28-Mar-2014;41200
27-Mar-2014;13100
